hey how is it going,banter
I am here,banter
happening,banter
hi,banter
hello,banter
who are you,banter
y'all,banter
are you human,banter
howdy,banter
haps,banter
hey  ,banter
How are you?,banter
I am good,banter
thanks  ,banter
thanks you,banter
I am fine thank you,banter
yo,banter
you the man,banter
I need help,help
help me,help
anyone care,help
I am in trouble,help
anyone here,help
can anyone help,help
is there anyone there,help
I have a problem,help
need help fast,help
I'd like a song,music
lets sing,music
send me music,music
send me song,music
music,music
worship,music
praise,music
free music,music
free song,music
download music,music
I would like the new album,music
music please,music
album please,music
what is this?,marketing 
how do I use this platform,marketing 
how does this work,marketing 
how do I make this work,marketing 
why does my company need this,marketing 
what is the value proposition,marketing 
how does this work,marketing 
how does this messaging platform work,marketing 
who are your competitors,marketing 
how much does this cost,pricing
how much ,pricing
do you have a freemium level,pricing
is there a free trial ,pricing
do you have trials available,sales
can I license the software,sales
options for purchase,sales
do you offer subscriptions,sales
how do I get started,sales
where can I get more information,sales
do you have documentation,sales
do you offer training,sales
training,sales
demo,sales
can I schedule a demo,registrar
how do I learn more about the product,registrar
how long have you been in business,general
who are the owners,general
how many employees,general
how many clients,general
do you have an use cases,sales
where are you located,general
are you a bot,chaoticbot
you sound like a bot,chaoticbot
what is your name,chaoticbot
what is the meaning of life,chaoticbot
are you there,chaoticbot
I really like this platform,sales
this platform is awesome!,sales
wow - love it!,sales
register me for the event,registrar
any presentation events,registrar
I'd like to speak to a sales rep,registrar
schedule a discussion,registrar
sign me for more,registrar
I'd like to learn more,registrar
how do I learn more  ,registrar
seminar,registrar
training ,registrar 
good bye,close
thanks,close
thank you,close
thanks for your time,close
bye ,close
bye bye,close
see ya,close
okie dokie,close
